Date,"Socialism"
2016-05-31,6384
2016-06-01,6053
2016-06-02,6026
2016-06-03,5581
2016-06-04,4888
2016-06-05,5894
2016-06-06,5663
2016-06-07,7049
2016-06-08,7976
2016-06-09,6496
2016-06-10,5261
2016-06-11,4475
2016-06-12,4487
2016-06-13,4619
2016-06-14,4611
2016-06-15,4343
2016-06-16,4343
2016-06-17,3918
2016-06-18,3768
2016-06-19,3849
2016-06-20,4173
2016-06-21,4180
2016-06-22,4308
2016-06-23,4932
2016-06-24,5951
2016-06-25,4763
2016-06-26,4810
2016-06-27,4712
2016-06-28,4850
2016-06-29,5175
2016-06-30,4759
2016-07-01,4030
2016-07-02,3866
2016-07-03,3933
2016-07-04,4096
2016-07-05,4010
2016-07-06,4092
2016-07-07,3828
2016-07-08,3590
2016-07-09,3330
2016-07-10,3565
2016-07-11,3979
2016-07-12,4711
2016-07-13,4560
2016-07-14,4008
2016-07-15,3549
2016-07-16,3167
2016-07-17,3810
2016-07-18,4631
2016-07-19,5324
2016-07-20,4588
2016-07-21,4868
2016-07-22,4347
2016-07-23,3841
2016-07-24,4417
2016-07-25,5693
2016-07-26,8693
2016-07-27,5994
2016-07-28,5415
2016-07-29,5335
2016-07-30,4127
2016-07-31,4094
2016-08-01,4150
2016-08-02,5344
2016-08-03,4199
2016-08-04,4427
2016-08-05,3841
2016-08-06,3150
2016-08-07,3600
2016-08-08,4120
2016-08-09,3923
2016-08-10,4112
2016-08-11,4014
2016-08-12,3541
2016-08-13,3243
2016-08-14,3634
2016-08-15,3880
2016-08-16,3878
2016-08-17,3848
2016-08-18,3667
2016-08-19,3454
2016-08-20,3409
2016-08-21,3609
2016-08-22,3747
2016-08-23,4047
2016-08-24,4194
2016-08-25,3981
2016-08-26,3704
2016-08-27,3137
2016-08-28,3562
2016-08-29,4061
2016-08-30,4278
2016-08-31,4324
2016-09-01,3998
2016-09-02,3841
2016-09-03,3326
2016-09-04,3539
2016-09-05,3909
2016-09-06,4588
2016-09-07,4547
2016-09-08,4667
2016-09-09,4106
2016-09-10,3452
2016-09-11,3806
2016-09-12,4602
2016-09-13,4703
2016-09-14,4845
2016-09-15,5085
2016-09-16,4558
2016-09-17,3585
2016-09-18,4524
2016-09-19,5406
2016-09-20,5272
2016-09-21,5595
